Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'readinterlock' | Document Frequency: 1
Term: 'readinterlock' | Inverse Document Frequency: 3.5056925074122
Term: 'wast' | Document Frequency: 2
Term: 'wast' | Inverse Document Frequency: 3.204662511748219
Term: 'hamlet' | Document Frequency: 2
Term: 'hamlet' | Inverse Document Frequency: 3.204662511748219
Term: 'unfair' | Document Frequency: 1
Term: 'unfair' | Inverse Document Frequency: 3.5056925074122
Term: 'idl' | Document Frequency: 2
Term: 'idl' | Inverse Document Frequency: 3.204662511748219
Term: 'uncharg' | Document Frequency: 1
Term: 'uncharg' | Inverse Document Frequency: 3.5056925074122
Term: 'overcharg' | Document Frequency: 1
Term: 'overcharg' | Inverse Document Frequency: 3.5056925074122
Term: 'frailei' | Document Frequency: 1
Term: 'frailei' | Inverse Document Frequency: 3.5056925074122
Term: 'massiv' | Document Frequency: 1
Term: 'massiv' | Inverse Document Frequency: 3.5056925074122
Term: 'preventiondetect' | Document Frequency: 1
Term: 'preventiondetect' | Inverse Document Frequency: 3.5056925074122
Term: 'infrequ' | Document Frequency: 4
Term: 'infrequ' | Inverse Document Frequency: 2.9036325160842376
Term: 'wylbur' | Document Frequency: 1
Term: 'wylbur' | Inverse Document Frequency: 3.5056925074122
Term: 'fajman' | Document Frequency: 1
Term: 'fajman' | Inverse Document Frequency: 3.5056925074122
Term: 'borgelt' | Document Frequency: 1
Term: 'borgelt' | Inverse Document Frequency: 3.5056925074122
Term: 'orvyl' | Document Frequency: 1
Term: 'orvyl' | Inverse Document Frequency: 3.5056925074122
Term: 'estel' | Document Frequency: 1
Term: 'estel' | Inverse Document Frequency: 3.5056925074122
Term: 'wexelblat' | Document Frequency: 1
Term: 'wexelblat' | Inverse Document Frequency: 3.5056925074122
Term: 'mcmorrow' | Document Frequency: 1
Term: 'mcmorrow' | Inverse Document Frequency: 3.5056925074122
Term: 'reflectionfre' | Document Frequency: 2
Term: 'reflectionfre' | Inverse Document Frequency: 3.204662511748219
Term: 'r406' | Document Frequency: 1
Term: 'r406' | Inverse Document Frequency: 3.5056925074122
Term: 'r402' | Document Frequency: 1
Term: 'r402' | Inverse Document Frequency: 3.5056925074122
Term: 'wheeler' | Document Frequency: 1
Term: 'wheeler' | Inverse Document Frequency: 3.5056925074122
Term: 'r333' | Document Frequency: 2
Term: 'r333' | Inverse Document Frequency: 3.204662511748219
Term: 'obradov' | Document Frequency: 2
Term: 'obradov' | Inverse Document Frequency: 3.204662511748219
Term: 'r324' | Document Frequency: 1
Term: 'r324' | Inverse Document Frequency: 3.5056925074122
Term: 'r300' | Document Frequency: 1
Term: 'r300' | Inverse Document Frequency: 3.5056925074122
Term: 'vo' | Document Frequency: 1
Term: 'vo' | Inverse Document Frequency: 3.5056925074122
Term: 'reingold' | Document Frequency: 3
Term: 'reingold' | Inverse Document Frequency: 3.0285712526925375
Term: 'lisptyp' | Document Frequency: 1
Term: 'lisptyp' | Inverse Document Frequency: 3.5056925074122
Term: 'destroi' | Document Frequency: 4
Term: 'destroi' | Inverse Document Frequency: 2.9036325160842376
Term: 'mercer' | Document Frequency: 1
Term: 'mercer' | Inverse Document Frequency: 3.5056925074122
Term: 'eventnod' | Document Frequency: 1
Term: 'eventnod' | Inverse Document Frequency: 3.5056925074122
Term: 'activitynod' | Document Frequency: 1
Term: 'activitynod' | Inverse Document Frequency: 3.5056925074122
Term: 'minima' | Document Frequency: 1
Term: 'minima' | Inverse Document Frequency: 3.5056925074122
Term: 'setcov' | Document Frequency: 1
Term: 'setcov' | Inverse Document Frequency: 3.5056925074122
Term: 'salasin' | Document Frequency: 1
Term: 'salasin' | Inverse Document Frequency: 3.5056925074122
Term: 'nlevel' | Document Frequency: 1
Term: 'nlevel' | Inverse Document Frequency: 3.5056925074122
Term: 'linearli' | Document Frequency: 7
Term: 'linearli' | Inverse Document Frequency: 2.660594467397943
Term: 'semiconductor' | Document Frequency: 1
Term: 'semiconductor' | Inverse Document Frequency: 3.5056925074122
Term: 'multiplehierarch' | Document Frequency: 1
Term: 'multiplehierarch' | Inverse Document Frequency: 3.5056925074122
Term: 'rulemask' | Document Frequency: 1
Term: 'rulemask' | Inverse Document Frequency: 3.5056925074122
Term: 'multirul' | Document Frequency: 1
Term: 'multirul' | Inverse Document Frequency: 3.5056925074122
Term: 'singlerul' | Document Frequency: 1
Term: 'singlerul' | Inverse Document Frequency: 3.5056925074122
Term: 'tale' | Document Frequency: 1
Term: 'tale' | Inverse Document Frequency: 3.5056925074122
Term: 'questionnair' | Document Frequency: 3
Term: 'questionnair' | Inverse Document Frequency: 3.0285712526925375
Term: 'questionnairi' | Document Frequency: 1
Term: 'questionnairi' | Inverse Document Frequency: 3.5056925074122
Term: 'informationprocess' | Document Frequency: 1
Term: 'informationprocess' | Inverse Document Frequency: 3.5056925074122
Term: 'c386' | Document Frequency: 1
Term: 'c386' | Inverse Document Frequency: 3.5056925074122
Term: 'ragland' | Document Frequency: 1
Term: 'ragland' | Inverse Document Frequency: 3.5056925074122
Term: 'a446' | Document Frequency: 1
Term: 'a446' | Inverse Document Frequency: 3.5056925074122
Term: 'brouck' | Document Frequency: 1
Term: 'brouck' | Inverse Document Frequency: 3.5056925074122
Term: 'dupui' | Document Frequency: 1
Term: 'dupui' | Inverse Document Frequency: 3.5056925074122
Term: 'scene' | Document Frequency: 5
Term: 'scene' | Inverse Document Frequency: 2.8067225030761813
Term: 'cartoon' | Document Frequency: 1
Term: 'cartoon' | Inverse Document Frequency: 3.5056925074122
Term: 'textur' | Document Frequency: 2
Term: 'textur' | Inverse Document Frequency: 3.204662511748219
Term: 'cloud' | Document Frequency: 1
Term: 'cloud' | Inverse Document Frequency: 3.5056925074122
Term: 'bestmatch' | Document Frequency: 3
Term: 'bestmatch' | Inverse Document Frequency: 3.0285712526925375
Term: 'burkhard' | Document Frequency: 1
Term: 'burkhard' | Inverse Document Frequency: 3.5056925074122
Term: 'closest' | Document Frequency: 1
Term: 'closest' | Inverse Document Frequency: 3.5056925074122
Term: 'guard' | Document Frequency: 4
Term: 'guard' | Inverse Document Frequency: 2.9036325160842376
Term: '6digit' | Document Frequency: 1
Term: '6digit' | Inverse Document Frequency: 3.5056925074122
Term: '22digit' | Document Frequency: 1
Term: '22digit' | Inverse Document Frequency: 3.5056925074122
Term: 'inaccuraci' | Document Frequency: 2
Term: 'inaccuraci' | Inverse Document Frequency: 3.204662511748219
Term: 'jg' | Document Frequency: 2
Term: 'jg' | Inverse Document Frequency: 3.204662511748219
Term: 'readtimewritetim' | Document Frequency: 1
Term: 'readtimewritetim' | Inverse Document Frequency: 3.5056925074122
Term: 'systemth' | Document Frequency: 1
Term: 'systemth' | Inverse Document Frequency: 3.5056925074122
Term: 'lageschult' | Document Frequency: 1
Term: 'lageschult' | Inverse Document Frequency: 3.5056925074122
Term: 'lyon' | Document Frequency: 4
Term: 'lyon' | Inverse Document Frequency: 2.9036325160842376
Term: 'apl' | Document Frequency: 2
Term: 'apl' | Inverse Document Frequency: 3.204662511748219
Term: 'r445' | Document Frequency: 1
Term: 'r445' | Inverse Document Frequency: 3.5056925074122
Term: 'lau' | Document Frequency: 1
Term: 'lau' | Inverse Document Frequency: 3.5056925074122
Term: 'a445' | Document Frequency: 1
Term: 'a445' | Inverse Document Frequency: 3.5056925074122
Term: 'spaceoptim' | Document Frequency: 1
Term: 'spaceoptim' | Inverse Document Frequency: 3.5056925074122
Term: 'a444' | Document Frequency: 1
Term: 'a444' | Inverse Document Frequency: 3.5056925074122
Term: 'glut' | Document Frequency: 2
Term: 'glut' | Inverse Document Frequency: 3.204662511748219
Term: 'accredit' | Document Frequency: 2
Term: 'accredit' | Inverse Document Frequency: 3.204662511748219
Term: 'bookstein' | Document Frequency: 1
Term: 'bookstein' | Inverse Document Frequency: 3.5056925074122
Term: 'galoi' | Document Frequency: 1
Term: 'galoi' | Inverse Document Frequency: 3.5056925074122
Term: 'plc' | Document Frequency: 1
Term: 'plc' | Inverse Document Frequency: 3.5056925074122
Term: 'perseveranceit' | Document Frequency: 1
Term: 'perseveranceit' | Inverse Document Frequency: 3.5056925074122
Term: 'userestablish' | Document Frequency: 1
Term: 'userestablish' | Inverse Document Frequency: 3.5056925074122
Term: 'repair' | Document Frequency: 2
Term: 'repair' | Inverse Document Frequency: 3.204662511748219
Term: 'customarili' | Document Frequency: 1
Term: 'customarili' | Inverse Document Frequency: 3.5056925074122
Term: 'offset' | Document Frequency: 1
Term: 'offset' | Inverse Document Frequency: 3.5056925074122
Term: 'md1' | Document Frequency: 1
Term: 'md1' | Inverse Document Frequency: 3.5056925074122
Term: 'multiplexor' | Document Frequency: 1
Term: 'multiplexor' | Inverse Document Frequency: 3.5056925074122
Term: 'telecommun' | Document Frequency: 1
Term: 'telecommun' | Inverse Document Frequency: 3.5056925074122
Term: 'frontend' | Document Frequency: 1
Term: 'frontend' | Inverse Document Frequency: 3.5056925074122
Term: 'minicomput' | Document Frequency: 5
Term: 'minicomput' | Inverse Document Frequency: 2.8067225030761813
Term: 'feinroth' | Document Frequency: 1
Term: 'feinroth' | Inverse Document Frequency: 3.5056925074122
Term: 'franceschini' | Document Frequency: 1
Term: 'franceschini' | Inverse Document Frequency: 3.5056925074122
Term: 'vastli' | Document Frequency: 2
Term: 'vastli' | Inverse Document Frequency: 3.204662511748219
Term: 'processorminicomput' | Document Frequency: 1
Term: 'processorminicomput' | Inverse Document Frequency: 3.5056925074122
Term: 'minimumspac' | Document Frequency: 1
Term: 'minimumspac' | Inverse Document Frequency: 3.5056925074122
Term: '444' | Document Frequency: 1
Term: '444' | Inverse Document Frequency: 3.5056925074122
Term: 'aust' | Document Frequency: 5
Term: 'aust' | Inverse Document Frequency: 2.8067225030761813
Term: 'engel' | Document Frequency: 2
Term: 'engel' | Inverse Document Frequency: 3.204662511748219
Term: 'ccc' | Document Frequency: 1
Term: 'ccc' | Inverse Document Frequency: 3.5056925074122
Term: 'a443' | Document Frequency: 1
Term: 'a443' | Inverse Document Frequency: 3.5056925074122
Term: 'fritsch' | Document Frequency: 2
Term: 'fritsch' | Inverse Document Frequency: 3.204662511748219
Term: 'crowlei' | Document Frequency: 1
Term: 'crowlei' | Inverse Document Frequency: 3.5056925074122
Term: 'ispl' | Document Frequency: 1
Term: 'ispl' | Inverse Document Frequency: 3.5056925074122
Term: 'operatingsystem' | Document Frequency: 1
Term: 'operatingsystem' | Inverse Document Frequency: 3.5056925074122
Term: 'interprogram' | Document Frequency: 1
Term: 'interprogram' | Inverse Document Frequency: 3.5056925074122
Term: 'microcod' | Document Frequency: 3
Term: 'microcod' | Inverse Document Frequency: 3.0285712526925375
Term: 'synergist' | Document Frequency: 1
Term: 'synergist' | Inverse Document Frequency: 3.5056925074122
Term: 'endang' | Document Frequency: 2
Term: 'endang' | Inverse Document Frequency: 3.204662511748219
Term: 'clanci' | Document Frequency: 1
Term: 'clanci' | Inverse Document Frequency: 3.5056925074122
Term: 'devanei' | Document Frequency: 1
Term: 'devanei' | Inverse Document Frequency: 3.5056925074122
Term: 'advers' | Document Frequency: 2
Term: 'advers' | Inverse Document Frequency: 3.204662511748219
Term: 'cauchyostrowski' | Document Frequency: 1
Term: 'cauchyostrowski' | Inverse Document Frequency: 3.5056925074122
Term: 'deduc' | Document Frequency: 2
Term: 'deduc' | Inverse Document Frequency: 3.204662511748219
Term: 'insofar' | Document Frequency: 1
Term: 'insofar' | Inverse Document Frequency: 3.5056925074122
Term: 'melkanoff' | Document Frequency: 1
Term: 'melkanoff' | Inverse Document Frequency: 3.5056925074122
Term: 'lichten' | Document Frequency: 1
Term: 'lichten' | Inverse Document Frequency: 3.5056925074122
Term: 'wherein' | Document Frequency: 2
Term: 'wherein' | Inverse Document Frequency: 3.204662511748219
Term: 'subclass' | Document Frequency: 2
Term: 'subclass' | Inverse Document Frequency: 3.204662511748219
Term: 'merril' | Document Frequency: 1
Term: 'merril' | Inverse Document Frequency: 3.5056925074122
Term: 'computersearch' | Document Frequency: 2
Term: 'computersearch' | Inverse Document Frequency: 3.204662511748219
Term: 'terrain' | Document Frequency: 2
Term: 'terrain' | Inverse Document Frequency: 3.204662511748219
Term: 'a442' | Document Frequency: 1
Term: 'a442' | Inverse Document Frequency: 3.5056925074122
Term: 'probit' | Document Frequency: 1
Term: 'probit' | Inverse Document Frequency: 3.5056925074122
Term: 'a441' | Document Frequency: 1
Term: 'a441' | Inverse Document Frequency: 3.5056925074122
Term: 'a440' | Document Frequency: 1
Term: 'a440' | Inverse Document Frequency: 3.5056925074122
Term: 'carloquadratur' | Document Frequency: 1
Term: 'carloquadratur' | Inverse Document Frequency: 3.5056925074122
Term: 'stratif' | Document Frequency: 1
Term: 'stratif' | Inverse Document Frequency: 3.5056925074122
Term: 'atkin' | Document Frequency: 1
Term: 'atkin' | Inverse Document Frequency: 3.5056925074122
Term: 'directaccess' | Document Frequency: 2
Term: 'directaccess' | Inverse Document Frequency: 3.204662511748219
Term: 'educationdiscuss' | Document Frequency: 1
Term: 'educationdiscuss' | Inverse Document Frequency: 3.5056925074122
Term: 'blount' | Document Frequency: 1
Term: 'blount' | Inverse Document Frequency: 3.5056925074122
Term: 'bandsymmetr' | Document Frequency: 1
Term: 'bandsymmetr' | Inverse Document Frequency: 3.5056925074122
Term: 'bx' | Document Frequency: 1
Term: 'bx' | Inverse Document Frequency: 3.5056925074122
Term: 'bandwidth' | Document Frequency: 3
Term: 'bandwidth' | Inverse Document Frequency: 3.0285712526925375
Term: 'mbym' | Document Frequency: 1
Term: 'mbym' | Inverse Document Frequency: 3.5056925074122
Term: 'mn2' | Document Frequency: 1
Term: 'mn2' | Inverse Document Frequency: 3.5056925074122
Term: 'nm' | Document Frequency: 2
Term: 'nm' | Inverse Document Frequency: 3.204662511748219
Term: 'recomput' | Document Frequency: 1
Term: 'recomput' | Inverse Document Frequency: 3.5056925074122
Term: 'muraoka' | Document Frequency: 1
Term: 'muraoka' | Inverse Document Frequency: 3.5056925074122
Term: 'kuck' | Document Frequency: 2
Term: 'kuck' | Inverse Document Frequency: 3.204662511748219
Term: 'seal' | Document Frequency: 1
Term: 'seal' | Inverse Document Frequency: 3.5056925074122
Term: 'functionproduc' | Document Frequency: 1
Term: 'functionproduc' | Inverse Document Frequency: 3.5056925074122
Term: 'typetag' | Document Frequency: 1
Term: 'typetag' | Inverse Document Frequency: 3.5056925074122
Term: 'realloc' | Document Frequency: 1
Term: 'realloc' | Inverse Document Frequency: 3.5056925074122
Term: 'rescatt' | Document Frequency: 1
Term: 'rescatt' | Inverse Document Frequency: 3.5056925074122
Term: 'longrun' | Document Frequency: 1
Term: 'longrun' | Inverse Document Frequency: 3.5056925074122
Term: 'skinner' | Document Frequency: 1
Term: 'skinner' | Inverse Document Frequency: 3.5056925074122
Term: 'propertylist' | Document Frequency: 1
Term: 'propertylist' | Inverse Document Frequency: 3.5056925074122
Term: 'inconsist' | Document Frequency: 2
Term: 'inconsist' | Inverse Document Frequency: 3.204662511748219
Term: 'r456' | Document Frequency: 1
Term: 'r456' | Inverse Document Frequency: 3.5056925074122
Term: 'tesch' | Document Frequency: 1
Term: 'tesch' | Inverse Document Frequency: 3.5056925074122
Term: 'r426' | Document Frequency: 1
Term: 'r426' | Inverse Document Frequency: 3.5056925074122
Term: '488' | Document Frequency: 1
Term: '488' | Inverse Document Frequency: 3.5056925074122
Term: 'kolmogorovsmirnov' | Document Frequency: 1
Term: 'kolmogorovsmirnov' | Inverse Document Frequency: 3.5056925074122
Term: 'a487' | Document Frequency: 1
Term: 'a487' | Inverse Document Frequency: 3.5056925074122
Term: 'ks' | Document Frequency: 1
Term: 'ks' | Inverse Document Frequency: 3.5056925074122
Term: 'goodnessoffit' | Document Frequency: 1
